File,Line Number,Route
header.cfm, 496, /admin/portals.cfm
header.cfm, 502, /admin/users.cfm
header.cfm, 508, /admin/grouping.cfm
header.cfm, 514, /admin/lp/lp.cfm
header.cfm, 519, /admin/drip/campaigns.cfm
header.cfm, 526, /admin/portal_settings.cfm
header.cfm, 533, /admin/onboarding/check_list.cfm
header.cfm, 540, /admin/surveys.cfm
header.cfm, 546, /admin/reminders.cfm
header.cfm, 552, /admin/partner_resources.cfm
header.cfm, 559, /admin/connectwise/integration.cfm
header.cfm, 566, /admin/report_partners.cfm
header.cfm, 573, /admin/billing/billing.cfm
header.cfm, 580, #csData.custom_admin_link#
header.cfm, 592, javascript:;
header.cfm, 600, /admin/portals.cfm
header.cfm, 605, /admin/billing/billing.cfm
header.cfm, 610, /admin/course_usage.cfm
header.cfm, 615, /admin/lesson_usage.cfm
header.cfm, 620, /admin/report_partners.cfm
header.cfm, 625, /admin/report_share.cfm
header.cfm, 630, /admin/report_search.cfm
header.cfm, 636, /admin/sharingplus.cfm
header.cfm, 642, /admin/orders_dell.cfm
header.cfm, 647, /admin/report_tdsynnex.cfm
header.cfm, 652, /admin/feature/requests.cfm
header.cfm, 664, javascript:;
header.cfm, 672, /admin/reports/scheduled.cfm
header.cfm, 677, /admin/report_training.cfm
header.cfm, 682, /admin/report_activity.cfm
header.cfm, 687, /admin/report_exams.cfm
header.cfm, 692, /admin/report_all_points.cfm
header.cfm, 697, /admin/report_courses.cfm
header.cfm, 704, /admin/cybersecurity/report_partner.cfm
header.cfm, 706, /admin/cybersecurity/report_portal.cfm
header.cfm, 714, /admin/exam_stats.cfm
header.cfm, 719, /admin/quality_assurance.cfm
header.cfm, 726, /admin/report_adoption.cfm
header.cfm, 733, /admin/report_licensing.cfm
header.cfm, 741, /admin/cybersecurity/insights_report_partner.cfm
header.cfm, 743, /admin/cybersecurity/insights_report_portal.cfm
header.cfm, 755, javascript:;
header.cfm, 763, /admin/library.cfm
header.cfm, 768, /admin/library_indev.cfm
header.cfm, 782, /admin/policy_manager/pm.cfm
header.cfm, 791, /admin/dashboard.cfm<cfif hasDrops>?c=1</cfif>
header.cfm, 799, #csData.custom_link#
header.cfm, 814, javascript:;
header.cfm, 823, /insights.cfm
header.cfm, 830, /m365_insights.cfm
header.cfm, 842, /my_training.cfm<cfif hasDrops>?c=1</cfif>
header.cfm, 852, /lp.cfm
header.cfm, 859, /campaigns.cfm
header.cfm, 866, /achievements.cfm
header.cfm, 878, /course_library.cfm<cfif hasDrops>?c=1</cfif>
header.cfm, 887, /admin/orders_dell.cfm
header.cfm, 897, /marketplace.cfm
header.cfm, 907, #csData.custom_link#
header.cfm, 920, /admin/policy_manager/pm.cfm
header.cfm, 931, javascript:;
header.cfm, 939, /admin/library.cfm
header.cfm, 944, /admin/library_indev.cfm
header.cfm, 954, /index.cfm
header.cfm, 955, /products.cfm
header.cfm, 956, /options.cfm
header.cfm, 957, /course_library.cfm
header.cfm, 958, /signup.cfm
header.cfm, 961, /help.cfm
header.cfm, 969, /university.cfm
header.cfm, 978, /itpro.cfm
header.cfm, 987, https://www.cliptraining.com/partner/
header.cfm, 1007, javascript:;
header.cfm, 1017, /my_training.cfm<cfif hasDrops>?c=1</cfif>
header.cfm, 1027, /course_library.cfm<cfif hasDrops>?c=1</cfif>
header.cfm, 1038, /insights.cfm
header.cfm, 1046, /m365_insights.cfm
header.cfm, 1056, /itpro.cfm
header.cfm, 1068, None
header.cfm, 1076, /help.cfm
help.cfm, 57, support.cfm
help_lesson.cfm, 151, help.cfm
help_lesson.cfm, 152, /course.cfm?c=<cfoutput>#lessonData.course_id#
help_lesson.cfm, 203, /help_lesson.cfm?c=#url.c#&l=#listGetAt(clipList, listFind(clipList, lessonData.clip_id) - 1)#
help_lesson.cfm, 212, /help_lesson.cfm?c=#url.c#&l=#listGetAt(clipList, listFind(clipList, lessonData.clip_id) + 1)#
help_lesson.cfm, 220, share.cfm?<cfoutput>l=#theLesson#&u=#theURL#</cfoutput>
help_lesson.cfm, 241, #collapse_3
help_lesson.cfm, 253, #collapse_4
help_lesson.cfm, 271, dl.cfm?c=#courseData.course_id#
help_lesson.cfm, 312, /release_notes.cfm
index.cfm, 620, mailto:#session.SiteEmailSupport#
index.cfm, 633, mailto:<cfoutput>#session.SiteEmailSupport#</cfoutput>
index.cfm, 722, gen_signup.cfm
index.cfm, 724, gen_signup.cfm
index.cfm, 730, javascript:;
index.cfm, 745, https://teams.microsoft.com/l/entity/<cfoutput>#pwData.portal_manifest_app_id#</cfoutput>/com.etraininglibrary.m365
index.cfm, 747, https://teams.microsoft.com/l/entity/<cfoutput>#pwData.portal_manifest_app_id#</cfoutput>/com.cliptraining.o365
index.cfm, 758, https://<cfif session.siteDomain IS 
index.cfm, 768, <cfoutput>#pwData.sso_url#</cfoutput>
insights.cfm, 296, #help_insights
insights.cfm, 407, /insights.cfm?l=#listGetAt(clipList, listFind(clipList, lessonData.clip_id) - 1)#
insights.cfm, 416, /insights.cfm?l=#listGetAt(clipList, listFind(clipList, lessonData.clip_id) + 1)#
insights.cfm, 430, share.cfm?<cfoutput>l=#url.l#&u=#theURL#</cfoutput>
insights.cfm, 443, #collapse_1
insights.cfm, 455, #collapse_2
insights.cfm, 477, /insights.cfm?l=#listGetAt(clipList, listFind(clipList, lessonData.clip_id) - 1)#
insights.cfm, 486, /insights.cfm?l=#listGetAt(clipList, listFind(clipList, lessonData.clip_id) + 1)#
insights.cfm, 500, share.cfm?<cfoutput>l=#url.l#&u=#theURL#</cfoutput>
insights.cfm, 513, #collapse_3
insights.cfm, 525, #collapse_4
insights.cfm, 632, insights.cfm?s=#sectionData.section_id#
insights.cfm, 667, #markLesson
lesson.cfm, 404, /admin/library_indev.cfm
lesson.cfm, 406, university.cfm
lesson.cfm, 407, /course.cfm?c=<cfoutput>#lessonData.course_id#
lesson.cfm, 409, itpro.cfm
lesson.cfm, 410, /course.cfm?c=<cfoutput>#lessonData.course_id#
lesson.cfm, 413, /my_training.cfm
lesson.cfm, 414, /lp.cfm
lesson.cfm, 415, /lp_toc.cfm?a=<cfoutput>#assignedData.assignment_id#
lesson.cfm, 416, /course.cfm?c=#lessonData.course_id#&lp=#url.lp#
lesson.cfm, 418, /course_library.cfm
lesson.cfm, 419, /channel.cfm?c=<cfoutput>#lessonData.channel_id#
lesson.cfm, 420, /course.cfm?c=<cfoutput>#lessonData.course_id#
lesson.cfm, 597, /lesson.cfm?<cfif isDefined(
lesson.cfm, 606, /lesson.cfm?<cfif isDefined(
lesson.cfm, 620, share.cfm?<cfoutput>l=#url.l#&u=#theURL#</cfoutput>
lesson.cfm, 633, #collapse_1
lesson.cfm, 645, #collapse_2
lesson.cfm, 667, /lesson.cfm?<cfif isDefined(
lesson.cfm, 676, /lesson.cfm?<cfif isDefined(
lesson.cfm, 690, share.cfm?<cfoutput>l=#url.l#&u=#theURL#</cfoutput>
lesson.cfm, 703, #collapse_3
lesson.cfm, 715, #collapse_4
lesson.cfm, 750, /exam.cfm?c=<cfoutput>#lessonData.course_id#
lesson.cfm, 758, /lp_toc.cfm?a=<cfoutput>#assignedData.assignment_id#
lesson.cfm, 760, /course.cfm?c=<cfoutput>#lessonData.course_id#<cfif url.lp IS NOT 
lesson.cfm, 815, lesson.cfm?s=#sectionData.section_id#<cfif url.lp IS NOT 
lesson.cfm, 842, None
lesson.cfm, 863, /exam.cfm?c=<cfoutput>#lessonData.course_id#
lesson.cfm, 887, #markLesson
lesson_lp.cfm, 228, /my_training.cfm
lesson_lp.cfm, 229, /lp.cfm
lesson_lp.cfm, 230, /lp_toc.cfm?a=<cfoutput>#assignedData.assignment_id#
lesson_lp.cfm, 231, /course.cfm?c=#lessonData.course_id#&lp=#url.lp#
lesson_lp.cfm, 394, /lesson_lp.cfm?<cfif isDefined(
lesson_lp.cfm, 403, /lesson_lp.cfm?<cfif isDefined(
lesson_lp.cfm, 417, share.cfm?<cfoutput>l=#url.l#&u=#theURL#</cfoutput>
lesson_lp.cfm, 430, #collapse_1
lesson_lp.cfm, 442, #collapse_2
lesson_lp.cfm, 464, /lesson_lp.cfm?<cfif isDefined(
lesson_lp.cfm, 473, /lesson_lp.cfm?<cfif isDefined(
lesson_lp.cfm, 487, share.cfm?<cfoutput>l=#url.l#&u=#theURL#</cfoutput>
lesson_lp.cfm, 500, #collapse_3
lesson_lp.cfm, 512, #collapse_4
lesson_lp.cfm, 532, /lp_toc.cfm?a=<cfoutput>#assignedData.assignment_id#
lesson_lp.cfm, 581, lesson_lp.cfm?l=#lData.clip_id#&lp=#URL.lp#
lesson_lp.cfm, 604, #markLesson
lp.cfm, 68, /my_training.cfm
lp.cfm, 175, lp_toc.cfm?a=#assignedData.assignment_id#
lp_toc.cfm, 122, /my_training.cfm
lp_toc.cfm, 123, /lp.cfm
lp_toc.cfm, 340, lesson_lp.cfm?l=#lData.clip_id#&lp=#URL.a#
m365_insights.cfm, 257, #help_insights
m365_insights.cfm, 368, /insights.cfm?l=#listGetAt(clipList, listFind(clipList, lessonData.clip_id) - 1)#
m365_insights.cfm, 377, /insights.cfm?l=#listGetAt(clipList, listFind(clipList, lessonData.clip_id) + 1)#
m365_insights.cfm, 391, share.cfm?<cfoutput>l=#url.l#&u=#theURL#</cfoutput>
m365_insights.cfm, 404, #collapse_1
m365_insights.cfm, 416, #collapse_2
m365_insights.cfm, 438, /insights.cfm?l=#listGetAt(clipList, listFind(clipList, lessonData.clip_id) - 1)#
m365_insights.cfm, 447, /insights.cfm?l=#listGetAt(clipList, listFind(clipList, lessonData.clip_id) + 1)#
m365_insights.cfm, 461, share.cfm?<cfoutput>l=#url.l#&u=#theURL#</cfoutput>
m365_insights.cfm, 474, #collapse_3
m365_insights.cfm, 486, #collapse_4
m365_insights.cfm, 534, insights.cfm?s=#sectionData.section_id#
m365_insights.cfm, 570, #markLesson
mail_support.cfm, 30, mailto:#form.email#
marketplace.cfm, 182, marketplace_channel.cfm?c=#channelData.channel_id#
marketplace_channel.cfm, 144, /marketplace.cfm
marketplace_channel.cfm, 169, marketplace_request.cfm?c=<cfoutput>#url.c#</cfoutput>
marketplace_channel.cfm, 227, ##sample_lesson#courseData.course_id#
marketplace_channel.cfm, 228, marketplace_lessons.cfm?c=#courseData.course_id#
marketplace_request_process.cfm, 105, mailto:#form.email#
my_training.cfm, 205, /lp.cfm
my_training.cfm, 225, /achievements.cfm
my_training.cfm, 244, /campaigns.cfm
my_training.cfm, 256, /campaigns.cfm
my_training.cfm, 302, /policies.cfm
my_training.cfm, 315, /policy.cfm?pa=#policyData.policy_assigned_id#
my_training.cfm, 326, /certificate_policy_load.cfm?pa=#policyData.policy_assigned_id#
my_training.cfm, 328, /certificate_policy.cfm?pa=#policyData.policy_assigned_id#
my_training.cfm, 346, /course_library.cfm
my_training_active.cfm, 111, /course.cfm?c=#theCourseID#
my_training_active.cfm, 123, /exam.cfm?c=#theCourseID#
my_training_active.cfm, 126, /certificate_load.cfm?course_id=#theCourseID#
my_training_active.cfm, 128, /certificate.cfm?course_id=#theCourseID#
my_training_active.cfm, 133, /exam.cfm?c=#theCourseID#
my_training_cyber.cfm, 64, /insights.cfm
my_training_cyber.cfm, 69, ##insights-score-pop
my_training_lp.cfm, 30, lp_toc.cfm?a=#assignedData2.assignment_id#
my_training_lp.cfm, 37, lp_toc.cfm?a=#assignedCompletedData2.assignment_id#
notifications.cfm, 20, /delete_notification.cfm?u=#Session.UserID#
notifications.cfm, 21, /read_notification2.cfm?u=#Session.UserID#
notifications.cfm, 34, /read_notification2.cfm?n=#nData.notification_id#
notifications.cfm, 38, #nData.notification_url#
notifications.cfm, 39, /delete_notification.cfm?n=#nData.notification_id#
not_found.cfm, 10, /index.cfm
policies.cfm, 38, /my_training.cfm
policies.cfm, 72, policy.cfm?pa=#assignedData.policy_assigned_id#
policy.cfm, 105, /my_training.cfm
policy.cfm, 106, /policies.cfm
policy.cfm, 139, policy_p2.cfm?pa=<cfoutput>#url.pa#</cfoutput>
policy.cfm, 147, #collapse_2
policy.cfm, 175, policy_p2.cfm?pa=<cfoutput>#url.pa#</cfoutput>
policy.cfm, 198, /certificate_policy_load.cfm?pa=#url.pa#
policy.cfm, 200, /certificate_policy.cfm?pa=#url.pa#
policy_p2.cfm, 55, /my_training.cfm
policy_p2.cfm, 56, /policies.cfm
policy_p2.cfm, 116, policy_p3.cfm?pa=<cfoutput>#url.pa#</cfoutput>
policy_p2.cfm, 128, policy.cfm?pa=<cfoutput>#url.pa#</cfoutput>
policy_p2.cfm, 155, /certificate_policy_load.cfm?pa=#url.pa#
policy_p2.cfm, 157, /certificate_policy.cfm?pa=#url.pa#
policy_p3.cfm, 51, /my_training.cfm
policy_p3.cfm, 52, /policies.cfm
policy_p4.cfm, 59, /my_training.cfm
policy_p4.cfm, 60, /policies.cfm
policy_p4.cfm, 78, policy.cfm?pa=<cfoutput>#form.pa#</cfoutput>
policy_p4.cfm, 79, policy.cfm?pa=<cfoutput>#form.pa#</cfoutput>
policy_process.cfm, 93, /my_training.cfm
policy_process.cfm, 94, /policies.cfm
policy_process.cfm, 143, /certificate_policy_load.cfm?pa=#form.pa#
policy_process.cfm, 145, /certificate_policy.cfm?pa=#form.pa#
portals.cfm, 165, add_portal.cfm?filter=<cfoutput>#url.filter#&d=#url.d#&r=#url.r#&sort=#url.sort#&dir=#url.dir#</cfoutput>
portals.cfm, 253, add_notification.cfm?filter=<cfoutput>#url.filter#&d=#url.d#&r=#url.r#&sort=#url.sort#&dir=#url.dir#</cfoutput>
portals.cfm, 268, portals.cfm?sort=portal_name&dir=DESC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 270, portals.cfm?sort=portal_name&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 273, portals.cfm?sort=portal_name&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 279, portals.cfm?sort=account_number&dir=DESC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 281, portals.cfm?sort=account_number&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 284, portals.cfm?sort=account_number&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 290, portals.cfm?sort=portal_date_created&dir=DESC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 292, portals.cfm?sort=portal_date_created&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 295, portals.cfm?sort=portal_date_created&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 301, portals.cfm?sort=license_expiration&dir=DESC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 303, portals.cfm?sort=license_expiration&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 306, portals.cfm?sort=license_expiration&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 312, portals.cfm?sort=group_type&dir=DESC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 314, portals.cfm?sort=group_type&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 317, portals.cfm?sort=group_type&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 323, portals.cfm?sort=portal_isWhitelabel&dir=DESC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 325, portals.cfm?sort=portal_isWhitelabel&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 328, portals.cfm?sort=portal_isWhitelabel&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 334, portals.cfm?sort=portal_billing&dir=DESC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 336, portals.cfm?sort=portal_billing&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 339, portals.cfm?sort=portal_billing&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 345, portals.cfm?sort=isDisabled&dir=DESC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 347, portals.cfm?sort=isDisabled&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 350, portals.cfm?sort=isDisabled&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 357, portals.cfm?sort=user_limit&dir=DESC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 359, portals.cfm?sort=user_limit&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 362, portals.cfm?sort=user_limit&dir=ASC<cfoutput>&filter=#url.filter#&d=#url.d#&r=#url.r#<cfif url.namesearch IS NOT 
portals.cfm, 377, edit_portal.cfm?portal_id=#rData.portal_id#&filter=#url.filter#&d=#url.d#&r=#url.r#&sort=#url.sort#&dir=#url.dir#&namesearch=#replace(url.namesearch,
portals.cfm, 379, users.cfm?portal_id=#rData.portal_id#
portals.cfm, 381, invoke_sync.cfm?p=#rData.portal_id#
portals.cfm, 407, edit_portal.cfm?portal_id=#portalData.portal_id#&filter=#url.filter#&d=#url.d#&r=#url.r#&sort=#url.sort#&dir=#url.dir#&namesearch=#replace(url.namesearch,
portals.cfm, 409, users.cfm?portal_id=#portalData.portal_id#
portals.cfm, 411, invoke_sync.cfm?p=#portalData.portal_id#
portals.cfm, 434, 
portals.cfm, 436, #reminderDel
portals.cfm, 458, #reminderCon
portals.cfm, 475, 
privacy.cfm, 17, privacy_data_classification.cfm
privacy.cfm, 18, privacy_data_retention.cfm
privacy.cfm, 19, privacy_gdpr.cfm
privacy.cfm, 20, #gdpr
privacy.cfm, 109, None
privacy.cfm, 114, mailto:#session.SiteEmailSupport#
privacy.cfm, 287, mailto:DPO@cliptraining.com
privacy_data_classification.cfm, 15, privacy.cfm
privacy_data_retention.cfm, 15, privacy.cfm
privacy_gdpr.cfm, 15, privacy.cfm
puzzle.cfm, 97, /admin/library_indev.cfm
puzzle.cfm, 99, university.cfm
puzzle.cfm, 102, itpro.cfm
puzzle.cfm, 103, /course.cfm?c=<cfoutput>#courseData.course_id#
puzzle.cfm, 105, /course_library.cfm
puzzle.cfm, 106, /channel.cfm?c=<cfoutput>#channelData.channel_id#
puzzle.cfm, 107, /course.cfm?c=<cfoutput>#courseData.course_id#
puzzle.cfm, 132, course.cfm?c=<cfoutput>#courseData.course_id#</cfoutput>
pwreset.cfm, 25, /index.cfm
search.cfm, 343, course.cfm?c=#courseData.course_id#
search.cfm, 463, lesson.cfm?l=#clipData.key#
share_process_2.cfm, 57, #theURL#
teams-index.cfm, 139, https://www.cliptraining.com/teams-support/
teams-start.cfm, 19, <cfoutput>#theURL#</cfoutput>/login.cfm
admin/activity_report.cfm, 162, users.cfm?<cfoutput><cfif url.partner_id IS NOT 
admin/activity_report.cfm, 163, <cfoutput>activity_report_export.cfm?report_id=1&user_id=#url.user_id#&activitySort=#url.activitySort#&activityDir=#url.activityDir#&startDate=#checkStartDate#&endDate=#checkEndDate#</cfoutput>
admin/activity_report.cfm, 164, <cfoutput>activity_report_export.cfm?report_id=2&user_id=#url.user_id#&activitySort=#url.activitySort#&activityDir=#url.activityDir#&startDate=#checkStartDate#&endDate=#checkEndDate#</cfoutput>
admin/activity_report.cfm, 199, None
admin/activity_report.cfm, 214, <cfoutput>activity_report.cfm?<cfif url.partner_id IS NOT 
admin/activity_report.cfm, 216, <cfoutput>activity_report.cfm?<cfif url.partner_id IS NOT 
admin/activity_report.cfm, 219, <cfoutput>activity_report.cfm?<cfif url.partner_id IS NOT 
admin/activity_report.cfm, 225, <cfoutput>activity_report.cfm?<cfif url.partner_id IS NOT 
admin/activity_report.cfm, 228, <cfoutput>activity_report.cfm?<cfif url.partner_id IS NOT 
admin/activity_report.cfm, 231, <cfoutput>activity_report.cfm?<cfif url.partner_id IS NOT 
